54	30
55	448
56	286
57	156
58	293
59	289
60	230
61	96
62	83
63	254
64	254
65	227
66	344
67	337
68	428
69	487
70	547
71	446
72	425
73	331
74	324
75	399
76	399
77	301
78	318
79	283
80	351
81	428
82	452
83	447
84	310
85	310
86	270
87	331
88	144
89	150
90	176
91	218
92	253
93	302
94	276
95	452
96	347
97	340
98	246
99	392
100	430
101	298
102	267
103	233
104	316
105	307
106	416
107	268
108	335
109	213
110	342
111	227
112	166
113	56
114	63
115	230
116	362
117	248
118	550
119	809
120	677
121	667
122	425
123	544
124	420
125	457
126	415
127	480
128	569
129	402
130	459
131	466
132	523
133	634
134	479
135	564
136	436
137	519
138	808
139	589
140	367
141	169
142	316
143	370
144	334
145	281
146	256
147	357
148	293
149	349
150	300
151	342
152	291
153	327
154	329
155	346
156	386
157	318
158	310
159	361
160	360
161	352
162	474
163	495
164	569
165	426
166	89
167	17
171	208
172	502
173	565
174	273
175	1002
176	920
177	808
178	870
179	808
180	537
181	745
182	717
183	778
184	676
185	562
186	708
187	957
188	853
189	703
190	1013
191	1040
192	759
193	811
194	1086
195	1031
196	1080
197	1159
198	622
199	892
200	1188
201	1273
202	1214
203	1103
204	876
205	1248
206	956
207	1119
208	1218
209	1126
210	1058
211	872
212	1005
213	805
214	1146
215	1132
216	1404
217	1436
218	819
219	2152
220	1651
221	1418
222	1387
223	1496
224	1262
225	1784
226	1681
227	1401
228	1150
229	1269
230	1162
231	1136
232	1045
233	1370
234	41
