54	25
55	122
56	146
57	90
58	146
59	130
60	103
61	21
62	22
63	88
64	108
65	92
66	94
67	116
68	174
69	124
70	173
71	146
72	179
73	142
74	138
75	165
76	160
77	114
78	122
79	133
80	124
81	110
82	141
83	128
84	119
85	117
86	90
87	124
88	71
89	37
90	38
91	71
92	92
93	106
94	98
95	117
96	90
97	80
98	55
99	104
100	131
101	101
102	92
103	98
104	137
105	113
106	134
107	103
108	105
109	75
110	100
111	70
112	47
113	10
115	73
116	137
117	78
118	178
119	191
120	206
121	205
122	138
123	160
124	149
125	167
126	130
127	126
128	175
129	87
130	148
131	129
132	181
133	194
134	124
135	114
136	101
137	107
138	157
139	127
140	100
141	39
142	106
143	105
144	52
145	77
146	60
147	43
148	103
149	127
150	88
151	98
152	84
153	104
154	93
155	74
156	119
157	72
158	101
159	110
160	72
161	95
162	129
163	139
164	148
165	105
166	9
167	4
171	44
172	160
173	146
174	92
175	117
176	156
177	151
178	140
179	110
180	48
181	99
182	128
183	140
184	149
185	127
186	100
187	76
188	131
189	103
190	125
191	108
192	120
193	82
194	125
195	123
196	166
197	226
198	178
199	216
200	148
201	201
202	219
203	166
204	157
205	217
206	246
207	190
208	221
209	209
210	172
211	221
212	183
213	91
214	104
215	52
216	165
217	157
218	99
219	213
220	246
221	260
222	169
223	174
224	199
225	233
226	190
227	233
228	181
229	257
230	240
231	284
232	214
233	271
234	48
